,2011.0,2012.0,2015.0,2016.0,2017.0,2018.0,2019.0,change_15to19
Fruits and Vegetables,0.0,0.0,0.0,4.0,53.0,59.0,50.0,50.0
General Farm Labor,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
General Farm Workers,0.0,0.0,0.0,0.0,65.0,125.0,161.0,161.0
Grains,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenhouse/Nursery,0.0,0.0,16.0,0.0,0.0,0.0,0.0,-16.0
Hay and Straw,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Horses,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Horticulture,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lettuce,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Livestock,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Livestock Worker,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nursery Worker,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.0
Nursery or greenhouse,591.0,627.0,497.0,731.0,650.0,462.0,492.0,-5.0
Other,8.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0
PERRENIALS,0.0,0.0,42.0,0.0,0.0,0.0,0.0,-42.0
Peas,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
Peppers,0.0,0.0,0.0,58.0,98.0,0.0,0.0,0.0
Pickles,0.0,0.0,43.0,43.0,49.0,35.0,45.0,2.0
Planting,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plants,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Radish,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radishes,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Shrubs,0.0,0.0,6.0,0.0,0.0,0.0,0.0,-6.0
Sod,4.0,0.0,0.0,6.0,3.0,5.0,6.0,6.0
Sod Labor,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Squash - Zucchini & Yellow,0.0,0.0,6.0,0.0,0.0,0.0,0.0,-6.0
Strawberries,0.0,0.0,0.0,0.0,32.0,10.0,0.0,0.0
Supervisor,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
TREES AND PLANTS,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0
Tobacco,0.0,0.0,0.0,18.0,25.0,10.0,15.0,15.0
Tomatoes,0.0,0.0,28.0,61.0,141.0,234.0,76.0,48.0
Trees,7.0,3.0,0.0,11.0,24.0,2.0,0.0,0.0
Vegetable Harvest,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetables,12.0,43.0,56.0,6.0,57.0,69.0,7.0,-49.0
Zucchini,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"burley,dark fired, air cured tobacco& alt. work",0.0,0.0,5.0,0.0,0.0,0.0,0.0,-5.0
cultivate - harvest small trees - misc outside wor,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.0
farmworker laborer crop,0.0,0.0,6.0,0.0,0.0,0.0,0.0,-6.0
fruit/vegetable,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-3.0
melon/ vegetables,0.0,0.0,9.0,0.0,0.0,0.0,0.0,-9.0
nursery crops,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-4.0
nursery work activities,0.0,0.0,12.0,0.0,0.0,0.0,0.0,-12.0
"plants, cultivates, harvests vegetables and fruit",0.0,0.0,4.0,0.0,0.0,0.0,0.0,-4.0
"pumpkin, corn",0.0,0.0,8.0,0.0,0.0,0.0,0.0,-8.0
